KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-SÃ¦der,Leather Interior,Glass Roof,Headup Display,Isofix,KlimaanlÃ¦g,KÃ¸recomputer,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Brand,Model,Horsepower,Segment,Fuel_Type_Benzin,Fuel_Type_Diesel,Fuel_Type_El,Fuel_Type_Hybrid
129000,21.0,437.0,Automatgear,289000,1,0,0,1,1,0,0,0,0,0,0,1,1,No,1,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4813750-brugt-alfa-romeo-stelvio-2-2-jtd-180-super-aut,2019.0,Alfa,Romeo,180.0,Premium,False,True,False,False
200000,17.0,437.0,Manuelt gear,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/3910976-brugt-alfa-romeo-giulietta-1-4-distinctive-sportiva-1,2010.0,Alfa,Romeo,170.0,Economy,True,False,False,False
104000,18.0,437.0,Manuelt gear,124900,0,0,0,0,1,1,0,1,0,0,0,1,1,No,0,0,0,1,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4799444-brugt-alfa-romeo-giulietta-1-4-m-air-170-distinctive,2015.0,Alfa,Romeo,170.0,Economy,True,False,False,False
86000,15.0,437.0,Automatgear,184900,1,0,0,1,1,1,0,0,1,0,0,1,1,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4787246-brugt-alfa-romeo-giulietta-1-75-tbi-quadrifoglio-verde-tct,2015.0,Alfa,Romeo,240.0,Mid-Range,True,False,False,False
214000,13.0,437.0,Manuelt gear,84900,0,0,0,0,1,1,0,1,1,0,0,1,1,No,0,0,0,0,0,0,0,0,1,1,1,0,1,0,https://www.autouncle.dk/da/d/4764306-brugt-alfa-romeo-giulietta-1-75-tbi-quadrifoglio-verde,2011.0,Alfa,Romeo,235.0,Economy,True,False,False,False
153000,13.0,437.0,Manuelt gear,114900,0,0,0,1,1,1,0,1,1,0,0,1,1,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4743496-brugt-alfa-romeo-giulietta-1-75-tbi-quadrifoglio-verde,2010.0,Alfa,Romeo,235.0,Economy,True,False,False,False
105000,18.0,437.0,Manuelt gear,149800,0,0,0,1,1,1,1,1,0,0,0,1,1,No,0,0,0,1,0,0,1,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4819716-brugt-alfa-romeo-giulietta-1-4-m-air-150-super,2017.0,Alfa,Romeo,150.0,Economy,True,False,False,False
178000,15.0,437.0,Automatgear,144900,0,0,0,1,1,1,0,1,0,0,0,1,1,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4813723-brugt-alfa-romeo-giulietta-1-75-tbi-quadrifoglio-verde-tct,2015.0,Alfa,Romeo,240.0,Economy,True,False,False,False
103000,18.0,437.0,Manuelt gear,159900,0,0,0,0,1,1,0,1,0,0,0,1,1,No,1,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4813725-brugt-alfa-romeo-giulietta-1-4-m-air-150-super,2017.0,Alfa,Romeo,150.0,Mid-Range,True,False,False,False
168000,17.0,437.0,Manuelt gear,109900,0,0,0,0,1,1,0,0,0,0,0,1,1,No,1,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4813724-brugt-alfa-romeo-giulietta-1-4-m-air-170-sportiva,2015.0,Alfa,Romeo,170.0,Economy,True,False,False,False
167000,18.0,437.0,Manuelt gear,114900,0,0,0,1,1,1,0,0,0,0,0,1,1,No,1,0,0,1,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4775823-brugt-alfa-romeo-giulietta-1-4-m-air-170-distinctive-sportiva,2015.0,Alfa,Romeo,170.0,Economy,True,False,False,False
129000,15.0,437.0,Automatgear,199900,1,0,0,1,1,1,0,1,1,0,0,1,1,No,0,0,0,1,0,0,0,0,1,1,1,1,0,0,https://www.autouncle.dk/da/d/4770295-brugt-alfa-romeo-giulietta-1-75-tbi-veloce-tct,2017.0,Alfa,Romeo,240.0,Mid-Range,True,False,False,False
206000,17.0,437.0,Manuelt gear,69900,0,0,0,1,1,1,1,0,0,0,0,1,1,No,0,0,0,0,0,0,1,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4741922-brugt-alfa-romeo-mito-1-4-m-air-170-quadrifoglio-verde,2010.0,Alfa,Romeo,170.0,Economy,True,False,False,False
151000,17.0,437.0,Manuelt gear,94500,0,0,0,0,1,1,1,0,0,0,0,1,1,No,1,0,0,0,0,1,1,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4831533-brugt-alfa-romeo-giulietta-m-air-170-distinctive-1-4-l,2010.0,Alfa,Romeo,170.0,Economy,True,False,False,False
196000,17.0,437.0,Manuelt gear,54700,0,0,0,0,1,1,1,0,0,0,0,1,1,No,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4785920-brugt-alfa-romeo-mito-1-4-m-air-170-qv,2012.0,Alfa,Romeo,170.0,Economy,True,False,False,False
50500,14.0,437.0,Automatgear,234900,0,0,0,1,1,0,1,0,0,0,0,1,1,No,0,0,0,0,0,0,0,0,1,0,1,1,0,0,https://www.autouncle.dk/da/d/4792953-brugt-alfa-romeo-giulietta-1-75-tbi-veloce-tct,2016.0,Alfa,Romeo,240.0,Mid-Range,True,False,False,False
176000,15.0,437.0,Manuelt gear,64900,0,0,0,0,1,1,1,0,1,0,0,1,1,No,1,1,0,0,0,0,1,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4691015-brugt-alfa-romeo-mito-1-4-tb-155-distinctive,2008.0,Alfa,Romeo,155.0,Economy,True,False,False,False
130000,26.0,437.0,Automatgear,229500,1,0,0,0,1,1,1,0,1,0,0,1,1,No,1,0,0,1,1,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4830364-brugt-alfa-romeo-giulia-jtd-180-aut,2016.0,Alfa,Romeo,180.0,Mid-Range,False,True,False,False
108000,21.0,437.0,Automatgear,244900,1,0,0,1,1,1,1,0,0,0,0,0,1,No,1,0,0,1,1,1,1,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4492111-brugt-alfa-romeo-stelvio-2-2-jtdm-edizione-190hk-van-8g-aut-a,2020.0,Alfa,Romeo,190.0,Mid-Range,False,True,False,False
108000,21.0,437.0,Automatgear,289900,1,0,0,1,1,1,1,0,0,0,0,0,1,No,1,0,0,1,1,1,1,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4492011-brugt-alfa-romeo-stelvio-2-2-jtdm-edizione-190hk-van-8g-aut-a,2020.0,Alfa,Romeo,190.0,Premium,False,True,False,False
148000,16.0,437.0,Automatgear,244900,1,0,0,1,1,1,0,1,0,0,0,1,1,No,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4825259-brugt-alfa-romeo-giulia-2-0-t-200-edizione-aut,2019.0,Alfa,Romeo,200.0,Mid-Range,True,False,False,False
169000,15.0,437.0,Manuelt gear,69900,0,0,0,0,1,1,0,1,1,0,0,1,1,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4807875-brugt-alfa-romeo-159-2-4-jtd-20v-lusso,2006.0,Alfa,Romeo,200.0,Economy,False,True,False,False
103000,19.0,437.0,Automatgear,359900,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4774184-brugt-alfa-romeo-stelvio-jtd-180-aut,2018.0,Alfa,Romeo,180.0,Premium,False,True,False,False
54000,21.0,437.0,Automatgear,275000,1,1,0,1,1,1,0,0,1,0,0,0,1,No,1,0,0,1,0,1,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4637974-brugt-alfa-romeo-stelvio-22-jtd-190-edizione-aut-van,2020.0,Alfa,Romeo,190.0,Mid-Range,False,True,False,False
265000,10.0,437.0,Manuelt gear,69900,0,0,0,0,1,1,0,0,1,0,0,0,0,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4741868-brugt-alfa-romeo-spider-2-0-ts-16v,1997.0,Alfa,Romeo,150.0,Economy,True,False,False,False
160000,8.0,437.0,Manuelt gear,139900,0,0,0,1,1,1,0,0,1,0,0,1,1,No,0,0,0,1,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4775822-brugt-alfa-romeo-gt-3-2-v6-24v,2005.0,Alfa,Romeo,240.0,Economy,True,False,False,False
145000,14.0,437.0,Automatgear,349900,1,0,0,1,1,1,1,0,1,0,0,1,1,No,1,0,0,1,0,0,1,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4681041-brugt-alfa-romeo-stelvio-t-280-first-edition-aut-q4,2017.0,Alfa,Romeo,280.0,Premium,True,False,False,False
