"Brand","Model","KM Driven","Km/L","Range (Electric)","Gear","Motor Specs","Price","GPS","Trailer Hitch","4WD","Parkingsensor","Cruise Control","Antispin","ESP","El-Sæder","Leather Interior","Glass Roof","Headup Display","Isofix","Klimaanlæg","Regnsensor","Soltag","Sports Package","Seatwarmer","Xenon Lights","Non-Smoker","One-Owner","Service OK","Nysynet","Demo Car","Partly Leather Interior","CVR/Engros","Full Leather","Adaptive Cruise Control","Link","Year","Fuel_Type","Horsepower"
"Ford","Mustang",188500,NA,NA,"Automatgear","El

218 kW

297 HK",235000,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4818779-brugt-ford-mustang-mach-e-98-kwh-294-hk-suv-rwd-idm",2021,"El",297
"Hyundai","Ioniq",0,NA,NA,"Automatgear","El

257 kW

350 HK",364485,"Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4715230-ny-hyundai-ioniq-5-essential",2023,"El",350
"Hyundai","Ioniq",6,NA,NA,"Manuelt gear","El

257 kW

350 HK",468485,"No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4558083-ny-hyundai-ioniq-6-ultimate",2023,"El",350
"Hyundai","Ioniq",5000,NA,NA,"Automatgear","El

257 kW

350 HK",404900,"Yes","No","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4578298-brugt-hyundai-ioniq-6-advanced",2023,"El",350
"Hyundai","Kona",71500,NA,NA,"Manuelt gear","El

290 kW

395 HK",313900,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4165887-brugt-hyundai-kona-ev-advanced",2020,"El",395
"Hyundai","Kona",118500,NA,NA,"Manuelt gear","El

290 kW

395 HK",164900,"No","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4139192-brugt-hyundai-kona-ev-trend",2019,"El",395
"MG","ZS",20000,NA,NA,"Automatgear","El

105 kW

143 HK",144900,"No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4736524-brugt-mg-zs-ev-el-luxury-143hk-5d-trinl-gear",2020,"El",143
"MG","ZS",14000,NA,NA,"Automatgear","El

130 kW

177 HK",189800,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4822479-brugt-mg-zs-ev-el-luxury-177hk-5d-aut",2020,"El",177
"Nissan","Ariya",10000,NA,NA,"Automatgear","El

221 kW

301 HK",456900,"Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","https://www.autouncle.dk/da/d/4807893-brugt-nissan-ariya-el-evolve-e-4orce-301hk-5d-aut",2023,"El",301
"Nissan","Ariya",9000,NA,NA,"Automatgear","El

221 kW

301 HK",456900,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4797986-brugt-nissan-ariya-el-evolve-e-4orce-301hk-5d-aut",2023,"El",301
"Nissan","Leaf",137000,NA,NA,"Automatgear","El

83 kW

114 HK",115000,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4788556-brugt-nissan-leaf-150-hk-aut",2018,"El",114
"Nissan","Townstar",500,NA,NA,"Automatgear","El

89 kW

122 HK",238900,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4509750-brugt-nissan-townstar-l1-el-n-connecta-122hk-van-aut",2022,"El",122
"Opel","Mokka-e",32000,NA,NA,"Automatgear","El

100 kW

136 HK",189900,"Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","https://www.autouncle.dk/da/d/4830968-brugt-opel-mokka-e-el-ultimate-136hk-5d-aut",2020,"El",136
"Renault","Mégane",1000,NA,NA,"Automatgear","El

161 kW

220 HK",299900,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4783930-ny-renault-megane-iv",2020,"El",220
"Renault","Mégane",10000,NA,NA,"Automatgear","El

161 kW

220 HK",299800,"Yes","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","Yes","https://www.autouncle.dk/da/d/4059010-brugt-renault-megane-iv-techno",2020,"El",220
"Skoda","Enyaq",0,NA,NA,"Automatgear","El

44 kW

60 HK",417990,"Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4462071-ny-skoda-enyaq-iv-60-iv-coupe",2023,"El",60
"Tesla","Model 3",130000,NA,NA,"Automatgear","El

361 kW

491 HK",235000,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4771383-brugt-tesla-model-3-long-range-dual-motor-4-dr",2020,"El",491
"BMW","i4",56000,NA,NA,"Automatgear","El

247 kW

336 HK",530000,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4551136-brugt-bmw-i4-edrive40-gran-coupe-m-model",2020,"El",336
"Fiat","500e",13244,14,331,"Automatgear","El

86 kW

118 HK",209890,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4680535-brugt-fiat-500e-el-la-prima-118hk-cabr-trinl-gear",2020,"El",118
"Fiat","500e",205,14,331,"Automatgear","El

86 kW

118 HK",239900,"Yes","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4623542-brugt-fiat-500e-el-la-prima-118hk-cabr-trinl-gear",2020,"El",118
"Fiat","500e",16000,14,331,"Automatgear","El

86 kW

118 HK",215800,"No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4709631-brugt-fiat-500e-el-passion-118hk-cabr-trinl-gear",2020,"El",118
"Fiat","500e",7400,14.4,310,"Automatgear","El

86 kW

118 HK",159900,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4832080-brugt-fiat-500e-icon",2020,"El",118
"Fiat","500e",15000,NA,322,"Automatgear","El

86 kW

118 HK",160000,"No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","https://www.autouncle.dk/da/d/4820365-brugt-fiat-500e-icon",2020,"El",118
"Fiat","500e",7000,14.4,310,"Automatgear","El

86 kW

118 HK",179900,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4424422-brugt-fiat-500e-el-icon-118hk-3d-trinl-gear",2020,"El",118
"Fiat","Doblò",7000,NA,278,"Automatgear","El

100 kW

136 HK",219900,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4604851-brugt-fiat-doblo-e-50-l1-primo",2020,"El",136
"Ford","Mustang",15,19.6,428,"Automatgear","El

231 kW

315 HK",444900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4769941-ny-ford-mustang-mach-e-premium-standard-range-awd",2020,"El",315
"Ford","Mustang",6000,20,500,"Automatgear","El

358 kW

487 HK",524900,"Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4740577-brugt-ford-mustang-mach-e-gt-extended-range-awd",2020,"El",487
"Ford","Mustang",12,17.2,600,"Automatgear","El

216 kW

294 HK",474900,"Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4790610-ny-ford-mustang-mach-e-premium-extended-range",2020,"El",294
