Brand,Model,KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Ford,Mustang,188500.0,18.0,537.0,Automatgear,235000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4818779-brugt-ford-mustang-mach-e-98-kwh-294-hk-suv-rwd-idm,2021,El,297.0
Hyundai,Ioniq,0.0,16.0,455.0,Automatgear,364485.0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4715230-ny-hyundai-ioniq-5-essential,2023,El,350.0
Hyundai,Ioniq,6.0,16.0,455.0,Manuelt gear,468485.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4558083-ny-hyundai-ioniq-6-ultimate,2023,El,350.0
Hyundai,Ioniq,5000.0,16.0,455.0,Automatgear,404900.0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4578298-brugt-hyundai-ioniq-6-advanced,2023,El,350.0
Hyundai,Kona,71500.0,16.0,455.0,Manuelt gear,313900.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,https://www.autouncle.dk/da/d/4165887-brugt-hyundai-kona-ev-advanced,2020,El,395.0
Hyundai,Kona,118500.0,16.0,455.0,Manuelt gear,164900.0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,https://www.autouncle.dk/da/d/4139192-brugt-hyundai-kona-ev-trend,2019,El,395.0
MG,ZS,20000.0,17.0,395.0,Automatgear,144900.0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4736524-brugt-mg-zs-ev-el-luxury-143hk-5d-trinl-gear,2020,El,143.0
MG,ZS,14000.0,17.0,395.0,Automatgear,189800.0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4822479-brugt-mg-zs-ev-el-luxury-177hk-5d-aut,2020,El,177.0
Nissan,Ariya,10000.0,19.0,310.0,Automatgear,456900.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4807893-brugt-nissan-ariya-el-evolve-e-4orce-301hk-5d-aut,2023,El,301.0
Nissan,Ariya,9000.0,19.0,310.0,Automatgear,456900.0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4797986-brugt-nissan-ariya-el-evolve-e-4orce-301hk-5d-aut,2023,El,301.0
Nissan,Leaf,137000.0,19.0,310.0,Automatgear,115000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4788556-brugt-nissan-leaf-150-hk-aut,2018,El,114.0
Nissan,Townstar,500.0,19.0,310.0,Automatgear,238900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4509750-brugt-nissan-townstar-l1-el-n-connecta-122hk-van-aut,2022,El,122.0
Opel,Mokka-e,32000.0,16.0,332.0,Automatgear,189900.0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,https://www.autouncle.dk/da/d/4830968-brugt-opel-mokka-e-el-ultimate-136hk-5d-aut,2020,El,136.0
Renault,Mégane,1000.0,17.0,379.0,Automatgear,299900.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4783930-ny-renault-megane-iv,2020,El,220.0
Renault,Mégane,10000.0,17.0,379.0,Automatgear,299800.0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,https://www.autouncle.dk/da/d/4059010-brugt-renault-megane-iv-techno,2020,El,220.0
Skoda,Enyaq,0.0,17.0,491.0,Automatgear,417990.0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4462071-ny-skoda-enyaq-iv-60-iv-coupe,2023,El,60.0
Tesla,Model 3,130000.0,16.0,527.0,Automatgear,235000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4771383-brugt-tesla-model-3-long-range-dual-motor-4-dr,2020,El,491.0
BMW,i4,56000.0,18.0,477.0,Automatgear,530000.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4551136-brugt-bmw-i4-edrive40-gran-coupe-m-model,2020,El,336.0
Fiat,500e,13244.0,14.0,331.0,Automatgear,209890.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4680535-brugt-fiat-500e-el-la-prima-118hk-cabr-trinl-gear,2020,El,118.0
Fiat,500e,205.0,14.0,331.0,Automatgear,239900.0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4623542-brugt-fiat-500e-el-la-prima-118hk-cabr-trinl-gear,2020,El,118.0
Fiat,500e,16000.0,14.0,331.0,Automatgear,215800.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4709631-brugt-fiat-500e-el-passion-118hk-cabr-trinl-gear,2020,El,118.0
Fiat,500e,7400.0,14.0,310.0,Automatgear,159900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4832080-brugt-fiat-500e-icon,2020,El,118.0
Fiat,500e,15000.0,14.0,322.0,Automatgear,160000.0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4820365-brugt-fiat-500e-icon,2020,El,118.0
Fiat,500e,7000.0,14.0,310.0,Automatgear,179900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4424422-brugt-fiat-500e-el-icon-118hk-3d-trinl-gear,2020,El,118.0
Fiat,Doblò,7000.0,14.0,278.0,Automatgear,219900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4604851-brugt-fiat-doblo-e-50-l1-primo,2020,El,136.0
Ford,Mustang,15.0,20.0,428.0,Automatgear,444900.0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4769941-ny-ford-mustang-mach-e-premium-standard-range-awd,2020,El,315.0
Ford,Mustang,6000.0,20.0,500.0,Automatgear,524900.0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,https://www.autouncle.dk/da/d/4740577-brugt-ford-mustang-mach-e-gt-extended-range-awd,2020,El,487.0
Ford,Mustang,12.0,17.0,600.0,Automatgear,474900.0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4790610-ny-ford-mustang-mach-e-premium-extended-range,2020,El,294.0
Ford,Mustang,25.0,17.0,600.0,Automatgear,469900.0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4770007-ny-ford-mustang-mach-e-premium-extended-range,2020,El,294.0
Ford,Mustang,10.0,19.0,550.0,Automatgear,506900.0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4832296-ny-ford-mustang-mach-e-premium-extended-range-awd,2020,El,351.0
Ford,Mustang,14.0,19.0,550.0,Automatgear,499900.0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,https://www.autouncle.dk/da/d/4720639-ny-ford-mustang-mach-e-premium-extended-range-awd,2020,El,351.0
Ford,Mustang,188500.0,16.0,610.0,Automatgear,235000.0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,https://www.autouncle.dk/da/d/4818798-brugt-ford-mustang-mach-e-mustang-extended-long-range-rwd-98-kwh,2021,El,294.0
Ford,Mustang,9500.0,19.0,540.0,Automatgear,419000.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4207066-brugt-ford-mustang-mach-e-98-kwh-351-hk-suv-awd-idm,2020,El,367.0
Honda,e,0.0,17.0,222.0,Automatgear,249800.0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4018892-brugt-honda-e-el-advanccvt-154hk-5d-trinl-gear,2021,El,154.0
Honda,e,23000.0,17.0,222.0,Automatgear,224900.0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4608141-brugt-honda-e-el-advanccvt-154hk-5d-trinl-gear,2020,El,154.0
Hyundai,Ioniq,500.0,17.0,507.0,Automatgear,349900.0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4799082-ny-hyundai-ioniq-5-electric-77-4-kwh-advanced-229hk-5d-trinl-gear,2020,El,229.0
Hyundai,Ioniq,500.0,17.0,507.0,Automatgear,369900.0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4660983-ny-hyundai-ioniq-5-electric-77-4-kwh-advanced-229hk-5d-trinl-gear,2020,El,229.0
Hyundai,Kona,1000.0,15.0,514.0,Automatgear,312900.0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4668282-ny-hyundai-kona-electric-65-4-kwh-essential-long-range-217hk-5d-aut,2020,El,217.0
Hyundai,Ioniq,500.0,17.0,507.0,Automatgear,379900.0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4666781-ny-hyundai-ioniq-5-electric-77-4-kwh-ultimate-229hk-5d-trinl-gear,2020,El,229.0
Hyundai,Kona,100.0,15.0,514.0,Automatgear,312900.0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4748773-ny-hyundai-kona-electric-65-4-kwh-essential-long-range-217hk-5d-aut,2020,El,217.0
